Date,ALL,ASGN,CI,COP,EME,EVR,GILD,GPK,ISRG,MKL,MOH,PEG,PXD,QCOM,UBSI,VFC,XEL
2009-11-27,20.831642150878906,5.96999979019165,31.081073760986328,24.471553802490234,22.24482536315918,22.639942169189453,17.634098052978516,2.258314371109009,31.123332977294922,333.6000061035156,13.960000038146973,18.221773147583008,32.85835647583008,31.76498031616211,9.535061836242676,11.783971786499023,12.582428932189941
2009-11-30,20.934810638427734,6.340000152587891,30.547822952270508,24.400859832763672,22.096275329589844,22.487651824951172,17.46366310119629,2.292273759841919,31.171110153198242,339.0,13.933333396911621,18.4930362701416,32.93800735473633,31.772056579589844,9.659335136413574,11.84914779663086,12.663440704345703
2009-12-01,21.015869140625,6.480000019073486,31.500064849853516,24.63180923461914,22.31909942626953,22.654443740844727,17.573503494262695,2.2073752880096436,31.655555725097656,341.82000732421875,14.100000381469727,18.681743621826172,33.941680908203125,31.814414978027344,9.585902214050293,12.075634956359863,12.806780815124512
2009-12-02,20.986392974853516,6.579999923706055,31.776212692260742,24.43386459350586,23.071115493774414,22.87200164794922,17.626523971557617,2.2413346767425537,31.959999084472656,341.8999938964844,13.946666717529297,19.047359466552734,33.68678665161133,31.814414978027344,9.744068145751953,12.230433464050293,12.825477600097656
2009-12-03,20.75795555114746,6.639999866485596,30.690654754638672,24.11806297302246,22.449081420898438,22.581926345825195,17.520475387573242,2.215864658355713,32.073333740234375,341.0,13.553333282470703,19.065046310424805,32.65125274658203,31.510814666748047,9.597196578979492,11.961577415466309,12.937651634216309
2009-12-04,21.074817657470703,6.920000076293945,30.624000549316406,23.8776798248291,22.709028244018555,22.494905471801758,17.64546012878418,2.292273759841919,32.44444274902344,343.8500061035156,13.733332633972168,18.98248863220215,32.491947174072266,31.885013580322266,9.919174194335938,11.927079200744629,12.856637001037598
2009-12-07,20.83901023864746,7.039999961853027,31.65242576599121,23.953096389770508,22.681184768676758,21.327381134033203,17.656822204589844,2.3771731853485107,32.06111145019531,341.75,13.699999809265137,19.07365608215332,32.587520599365234,31.69437599182129,10.484051704406738,11.851506233215332,12.96881103515625
2009-12-08,20.43372917175293,7.239999771118164,32.23328399658203,23.538318634033203,22.87615203857422,21.305618286132812,17.46745491027832,2.3856630325317383,31.892221450805664,342.1000061035156,13.706666946411133,19.025985717773438,31.82282066345215,31.48256492614746,10.388019561767578,11.775934219360352,12.9625825881958
2009-12-09,20.441099166870117,7.289999961853027,31.947612762451172,23.670289993286133,23.201093673706055,21.030054092407227,17.42200469970703,2.555459976196289,31.906667709350586,338.75,13.699999809265137,19.20474624633789,31.75113296508789,31.60966682434082,10.583266258239746,11.715147972106934,13.049833297729492
2009-12-10,20.559003829956055,7.309999942779541,33.88065719604492,23.986080169677734,23.061838150024414,21.044553756713867,17.531841278076172,2.6148898601531982,32.432220458984375,338.7699890136719,13.800000190734863,19.53843116760254,32.17332077026367,32.16743469238281,10.560290336608887,11.826868057250977,13.099688529968262
2009-12-11,21.096925735473633,7.28000020980835,33.86160659790039,24.000226974487305,23.358928680419922,20.710968017578125,17.581071853637695,2.5299911499023438,32.47666549682617,338.8900146484375,14.039999961853027,19.91977882385254,32.45210647583008,31.70144271850586,10.812959671020508,12.055222511291504,13.342731475830078
2009-12-14,21.096925735473633,7.420000076293945,34.547218322753906,24.080354690551758,24.08308982849121,21.088071823120117,17.785600662231445,2.597909927368164,32.545555114746094,338.2099914550781,14.180000305175781,19.955541610717773,34.27623748779297,31.539047241210938,10.795731544494629,12.129149436950684,13.411286354064941
2009-12-15,20.934810638427734,7.050000190734863,34.32820510864258,23.8776798248291,24.22235107421875,21.428897857666016,17.160676956176758,2.725259304046631,32.45777893066406,334.79998779296875,14.446666717529297,20.098546981811523,34.578948974609375,31.68732452392578,10.675140380859375,12.020719528198242,13.386354446411133
2009-12-16,21.163240432739258,7.050000190734863,35.04239273071289,23.971940994262695,25.03936195373535,22.879243850708008,16.372896194458008,2.7167694568634033,32.69111251831055,332.5,14.786666870117188,20.07470703125,35.0250129699707,31.55316925048828,11.203445434570312,12.024004936218262,13.386354446411133
2009-12-17,20.86112403869629,6.940000057220459,34.33773422241211,23.66556739807129,24.760828018188477,22.93000602722168,16.361534118652344,2.742238998413086,32.473331451416016,339.0,14.75333309173584,19.901912689208984,35.13654708862305,31.284883499145508,11.255125999450684,11.892578125,13.274182319641113
2009-12-18,21.2369327545166,7.059999942779541,34.090152740478516,23.47234344482422,24.77011489868164,23.76396369934082,16.221405029296875,2.7507286071777344,32.130001068115234,333.8999938964844,14.9399995803833,19.907873153686523,35.725990295410156,31.46845054626465,11.13453483581543,11.884360313415527,13.454911231994629
2009-12-21,21.64221954345703,7.179999828338623,35.41375732421875,23.849395751953125,25.234333038330078,23.256336212158203,16.346385955810547,2.8016679286956787,32.28555679321289,335.5,15.433333396911621,20.050880432128906,36.95271301269531,32.061527252197266,11.163246154785156,11.961581230163574,13.567086219787598
2009-12-22,21.819068908691406,7.119999885559082,34.91860580444336,23.9625244140625,25.373592376708984,22.857492446899414,16.37668228149414,2.793177843093872,33.057777404785156,338.3999938964844,15.420000076293945,19.84828758239746,38.13958740234375,32.36512756347656,11.295319557189941,12.084790229797363,13.437877655029297
2009-12-23,22.187511444091797,7.21999979019165,34.74720001220703,23.792835235595703,25.447856903076172,22.42238998413086,16.289581298828125,2.8101577758789062,33.575557708740234,339.04998779296875,15.5,19.782739639282227,39.023780822753906,32.44279861450195,11.547987937927246,12.081507682800293,13.488298416137695
